id,name,kind,class,source,asm,min_arch,cond,out_type,out_ctype,in_types,in_streams,in_bytes,out_bytes,n_vectors,insns_v73,insns_v75,insns_v79,insns_v81
19,Q6_Vb_vadd_VbVb_sat,insn,int_round,Q6_Vb_vadd_VbVb_sat,"Vd32.b=vadd(Vu32.b,Vv32.b):sat",62,__HVX_ARCH__ >= 73,b,V,b/b/,int_a/int_b/none,128/128/0,128,1024,"v0.b = vadd(v0.b,v1.b):sat","v0.b = vadd(v0.b,v1.b):sat","v0.b = vadd(v0.b,v1.b):sat","v0.b = vadd(v0.b,v1.b):sat"
20,Q6_Wb_vadd_WbWb_sat,insn,int_round,Q6_Wb_vadd_WbWb_sat,"Vdd32.b=vadd(Vuu32.b,Vvv32.b):sat",62,__HVX_ARCH__ >= 73,b,W,b/b/,int_a/int_b/none,256/256/0,256,1024,"v1:0.b = vadd(v1:0.b,v3:2.b):sat","v1:0.b = vadd(v1:0.b,v3:2.b):sat","v1:0.b = vadd(v1:0.b,v3:2.b):sat","v1:0.b = vadd(v1:0.b,v3:2.b):sat"
21,Q6_Vw_vadd_VwVwQ_carry_sat,insn,int_round,Q6_Vw_vadd_VwVwQ_carry_sat,"Vd32.w=vadd(Vu32.w,Vv32.w,Qs4):carry:sat",66,__HVX_ARCH__ >= 73,w,V,w/w/pred,int_a/int_b/int_c,128/128/128,128,1024,"r2 = #-0x1 | q0 = vand(v2,r2) | v0.w = vadd(v0.w,v1.w,q0):carry:sat","r2 = #-0x1 | q0 = vand(v2,r2) | v0.w = vadd(v0.w,v1.w,q0):carry:sat","r2 = #-0x1 | q0 = vand(v2,r2) | v0.w = vadd(v0.w,v1.w,q0):carry:sat","r2 = #-0x1 | q0 = vand(v2,r2) | v0.w = vadd(v0.w,v1.w,q0):carry:sat"
22,Q6_Vh_vadd_VhVh_sat,insn,int_round,Q6_Vh_vadd_VhVh_sat,"Vd32.h=vadd(Vu32.h,Vv32.h):sat",60,__HVX_ARCH__ >= 73,h,V,h/h/,int_a/int_b/none,128/128/0,128,1024,"v0.h = vadd(v0.h,v1.h):sat","v0.h = vadd(v0.h,v1.h):sat","v0.h = vadd(v0.h,v1.h):sat","v0.h = vadd(v0.h,v1.h):sat"
23,Q6_Wh_vadd_WhWh_sat,insn,int_round,Q6_Wh_vadd_WhWh_sat,"Vdd32.h=vadd(Vuu32.h,Vvv32.h):sat",60,__HVX_ARCH__ >= 73,h,W,h/h/,int_a/int_b/none,256/256/0,256,1024,"v1:0.h = vadd(v1:0.h,v3:2.h):sat","v1:0.h = vadd(v1:0.h,v3:2.h):sat","v1:0.h = vadd(v1:0.h,v3:2.h):sat","v1:0.h = vadd(v1:0.h,v3:2.h):sat"
24,Q6_Vub_vadd_VubVub_sat,insn,int_round,Q6_Vub_vadd_VubVub_sat,"Vd32.ub=vadd(Vu32.ub,Vv32.ub):sat",60,__HVX_ARCH__ >= 73,ub,V,ub/ub/,int_a/int_b/none,128/128/0,128,1024,"v0.ub = vadd(v0.ub,v1.ub):sat","v0.ub = vadd(v0.ub,v1.ub):sat","v0.ub = vadd(v0.ub,v1.ub):sat","v0.ub = vadd(v0.ub,v1.ub):sat"
25,Q6_Wub_vadd_WubWub_sat,insn,int_round,Q6_Wub_vadd_WubWub_sat,"Vdd32.ub=vadd(Vuu32.ub,Vvv32.ub):sat",60,__HVX_ARCH__ >= 73,ub,W,ub/ub/,int_a/int_b/none,256/256/0,256,1024,"v1:0.ub = vadd(v1:0.ub,v3:2.ub):sat","v1:0.ub = vadd(v1:0.ub,v3:2.ub):sat","v1:0.ub = vadd(v1:0.ub,v3:2.ub):sat","v1:0.ub = vadd(v1:0.ub,v3:2.ub):sat"
26,Q6_Vub_vadd_VubVb_sat,insn,int_round,Q6_Vub_vadd_VubVb_sat,"Vd32.ub=vadd(Vu32.ub,Vv32.b):sat",62,__HVX_ARCH__ >= 73,ub,V,ub/b/,int_a/int_b/none,128/128/0,128,1024,"v0.ub = vadd(v0.ub,v1.b):sat","v0.ub = vadd(v0.ub,v1.b):sat","v0.ub = vadd(v0.ub,v1.b):sat","v0.ub = vadd(v0.ub,v1.b):sat"
27,Q6_Vuh_vadd_VuhVuh_sat,insn,int_round,Q6_Vuh_vadd_VuhVuh_sat,"Vd32.uh=vadd(Vu32.uh,Vv32.uh):sat",60,__HVX_ARCH__ >= 73,uh,V,uh/uh/,int_a/int_b/none,128/128/0,128,1024,"v0.uh = vadd(v0.uh,v1.uh):sat","v0.uh = vadd(v0.uh,v1.uh):sat","v0.uh = vadd(v0.uh,v1.uh):sat","v0.uh = vadd(v0.uh,v1.uh):sat"
28,Q6_Wuh_vadd_WuhWuh_sat,insn,int_round,Q6_Wuh_vadd_WuhWuh_sat,"Vdd32.uh=vadd(Vuu32.uh,Vvv32.uh):sat",60,__HVX_ARCH__ >= 73,uh,W,uh/uh/,int_a/int_b/none,256/256/0,256,1024,"v1:0.uh = vadd(v1:0.uh,v3:2.uh):sat","v1:0.uh = vadd(v1:0.uh,v3:2.uh):sat","v1:0.uh = vadd(v1:0.uh,v3:2.uh):sat","v1:0.uh = vadd(v1:0.uh,v3:2.uh):sat"
29,Q6_Vuw_vadd_VuwVuw_sat,insn,int_round,Q6_Vuw_vadd_VuwVuw_sat,"Vd32.uw=vadd(Vu32.uw,Vv32.uw):sat",62,__HVX_ARCH__ >= 73,uw,V,uw/uw/,int_a/int_b/none,128/128/0,128,1024,"v0.uw = vadd(v0.uw,v1.uw):sat","v0.uw = vadd(v0.uw,v1.uw):sat","v0.uw = vadd(v0.uw,v1.uw):sat","v0.uw = vadd(v0.uw,v1.uw):sat"
30,Q6_Wuw_vadd_WuwWuw_sat,insn,int_round,Q6_Wuw_vadd_WuwWuw_sat,"Vdd32.uw=vadd(Vuu32.uw,Vvv32.uw):sat",62,__HVX_ARCH__ >= 73,uw,W,uw/uw/,int_a/int_b/none,256/256/0,256,1024,"v1:0.uw = vadd(v1:0.uw,v3:2.uw):sat","v1:0.uw = vadd(v1:0.uw,v3:2.uw):sat","v1:0.uw = vadd(v1:0.uw,v3:2.uw):sat","v1:0.uw = vadd(v1:0.uw,v3:2.uw):sat"
31,Q6_Vw_vadd_VwVw_sat,insn,int_round,Q6_Vw_vadd_VwVw_sat,"Vd32.w=vadd(Vu32.w,Vv32.w):sat",60,__HVX_ARCH__ >= 73,w,V,w/w/,int_a/int_b/none,128/128/0,128,1024,"v0.w = vadd(v0.w,v1.w):sat","v0.w = vadd(v0.w,v1.w):sat","v0.w = vadd(v0.w,v1.w):sat","v0.w = vadd(v0.w,v1.w):sat"
32,Q6_Ww_vadd_WwWw_sat,insn,int_round,Q6_Ww_vadd_WwWw_sat,"Vdd32.w=vadd(Vuu32.w,Vvv32.w):sat",60,__HVX_ARCH__ >= 73,w,W,w/w/,int_a/int_b/none,256/256/0,256,1024,"v1:0.w = vadd(v1:0.w,v3:2.w):sat","v1:0.w = vadd(v1:0.w,v3:2.w):sat","v1:0.w = vadd(v1:0.w,v3:2.w):sat","v1:0.w = vadd(v1:0.w,v3:2.w):sat"
33,Q6_Vb_vasr_VhVhR_rnd_sat,insn,int_round,Q6_Vb_vasr_VhVhR_rnd_sat,"Vd32.b=vasr(Vu32.h,Vv32.h,Rt8):rnd:sat",60,__HVX_ARCH__ >= 73,b,V,h/h/,int_a/int_b/int_c,128/128/128,128,1024,"v0.b = vasr(v0.h,v1.h,r0):rnd:sat","v0.b = vasr(v0.h,v1.h,r0):rnd:sat","v0.b = vasr(v0.h,v1.h,r0):rnd:sat","v0.b = vasr(v0.h,v1.h,r0):rnd:sat"
34,Q6_Vb_vasr_VhVhR_sat,insn,int_round,Q6_Vb_vasr_VhVhR_sat,"Vd32.b=vasr(Vu32.h,Vv32.h,Rt8):sat",62,__HVX_ARCH__ >= 73,b,V,h/h/,int_a/int_b/int_c,128/128/128,128,1024,"v0.b = vasr(v0.h,v1.h,r0):sat","v0.b = vasr(v0.h,v1.h,r0):sat","v0.b = vasr(v0.h,v1.h,r0):sat","v0.b = vasr(v0.h,v1.h,r0):sat"
35,Q6_Vub_vasr_VhVhR_rnd_sat,insn,int_round,Q6_Vub_vasr_VhVhR_rnd_sat,"Vd32.ub=vasr(Vu32.h,Vv32.h,Rt8):rnd:sat",60,__HVX_ARCH__ >= 73,ub,V,h/h/,int_a/int_b/int_c,128/128/128,128,1024,"v0.ub = vasr(v0.h,v1.h,r0):rnd:sat","v0.ub = vasr(v0.h,v1.h,r0):rnd:sat","v0.ub = vasr(v0.h,v1.h,r0):rnd:sat","v0.ub = vasr(v0.h,v1.h,r0):rnd:sat"
36,Q6_Vub_vasr_VhVhR_sat,insn,int_round,Q6_Vub_vasr_VhVhR_sat,"Vd32.ub=vasr(Vu32.h,Vv32.h,Rt8):sat",60,__HVX_ARCH__ >= 73,ub,V,h/h/,int_a/int_b/int_c,128/128/128,128,1024,"v0.ub = vasr(v0.h,v1.h,r0):sat","v0.ub = vasr(v0.h,v1.h,r0):sat","v0.ub = vasr(v0.h,v1.h,r0):sat","v0.ub = vasr(v0.h,v1.h,r0):sat"
37,Q6_Vub_vasr_VuhVuhR_rnd_sat,insn,int_round,Q6_Vub_vasr_VuhVuhR_rnd_sat,"Vd32.ub=vasr(Vu32.uh,Vv32.uh,Rt8):rnd:sat",65,__HVX_ARCH__ >= 73,ub,V,uh/uh/,int_a/int_b/int_c,128/128/128,128,1024,"v0.ub = vasr(v0.uh,v1.uh,r0):rnd:sat","v0.ub = vasr(v0.uh,v1.uh,r0):rnd:sat","v0.ub = vasr(v0.uh,v1.uh,r0):rnd:sat","v0.ub = vasr(v0.uh,v1.uh,r0):rnd:sat"
38,Q6_Vub_vasr_VuhVuhR_sat,insn,int_round,Q6_Vub_vasr_VuhVuhR_sat,"Vd32.ub=vasr(Vu32.uh,Vv32.uh,Rt8):sat",65,__HVX_ARCH__ >= 73,ub,V,uh/uh/,int_a/int_b/int_c,128/128/128,128,1024,"v0.ub = vasr(v0.uh,v1.uh,r0):sat","v0.ub = vasr(v0.uh,v1.uh,r0):sat","v0.ub = vasr(v0.uh,v1.uh,r0):sat","v0.ub = vasr(v0.uh,v1.uh,r0):sat"
39,Q6_Vuh_vasr_VuwVuwR_rnd_sat,insn,int_round,Q6_Vuh_vasr_VuwVuwR_rnd_sat,"Vd32.uh=vasr(Vu32.uw,Vv32.uw,Rt8):rnd:sat",62,__HVX_ARCH__ >= 73,uh,V,uw/uw/,int_a/int_b/int_c,128/128/128,128,1024,"v0.uh = vasr(v0.uw,v1.uw,r0):rnd:sat","v0.uh = vasr(v0.uw,v1.uw,r0):rnd:sat","v0.uh = vasr(v0.uw,v1.uw,r0):rnd:sat","v0.uh = vasr(v0.uw,v1.uw,r0):rnd:sat"
40,Q6_Vuh_vasr_VuwVuwR_sat,insn,int_round,Q6_Vuh_vasr_VuwVuwR_sat,"Vd32.uh=vasr(Vu32.uw,Vv32.uw,Rt8):sat",65,__HVX_ARCH__ >= 73,uh,V,uw/uw/,int_a/int_b/int_c,128/128/128,128,1024,"v0.uh = vasr(v0.uw,v1.uw,r0):sat","v0.uh = vasr(v0.uw,v1.uw,r0):sat","v0.uh = vasr(v0.uw,v1.uw,r0):sat","v0.uh = vasr(v0.uw,v1.uw,r0):sat"
41,Q6_Vh_vasr_VwVwR_rnd_sat,insn,int_round,Q6_Vh_vasr_VwVwR_rnd_sat,"Vd32.h=vasr(Vu32.w,Vv32.w,Rt8):rnd:sat",60,__HVX_ARCH__ >= 73,h,V,w/w/,int_a/int_b/int_c,128/128/128,128,1024,"v0.h = vasr(v0.w,v1.w,r0):rnd:sat","v0.h = vasr(v0.w,v1.w,r0):rnd:sat","v0.h = vasr(v0.w,v1.w,r0):rnd:sat","v0.h = vasr(v0.w,v1.w,r0):rnd:sat"
42,Q6_Vh_vasr_VwVwR_sat,insn,int_round,Q6_Vh_vasr_VwVwR_sat,"Vd32.h=vasr(Vu32.w,Vv32.w,Rt8):sat",60,__HVX_ARCH__ >= 73,h,V,w/w/,int_a/int_b/int_c,128/128/128,128,1024,"v0.h = vasr(v0.w,v1.w,r0):sat","v0.h = vasr(v0.w,v1.w,r0):sat","v0.h = vasr(v0.w,v1.w,r0):sat","v0.h = vasr(v0.w,v1.w,r0):sat"
43,Q6_Vuh_vasr_VwVwR_rnd_sat,insn,int_round,Q6_Vuh_vasr_VwVwR_rnd_sat,"Vd32.uh=vasr(Vu32.w,Vv32.w,Rt8):rnd:sat",62,__HVX_ARCH__ >= 73,uh,V,w/w/,int_a/int_b/int_c,128/128/128,128,1024,"v0.uh = vasr(v0.w,v1.w,r0):rnd:sat","v0.uh = vasr(v0.w,v1.w,r0):rnd:sat","v0.uh = vasr(v0.w,v1.w,r0):rnd:sat","v0.uh = vasr(v0.w,v1.w,r0):rnd:sat"
44,Q6_Vuh_vasr_VwVwR_sat,insn,int_round,Q6_Vuh_vasr_VwVwR_sat,"Vd32.uh=vasr(Vu32.w,Vv32.w,Rt8):sat",60,__HVX_ARCH__ >= 73,uh,V,w/w/,int_a/int_b/int_c,128/128/128,128,1024,"v0.uh = vasr(v0.w,v1.w,r0):sat","v0.uh = vasr(v0.w,v1.w,r0):sat","v0.uh = vasr(v0.w,v1.w,r0):sat","v0.uh = vasr(v0.w,v1.w,r0):sat"
45,Q6_Vb_vavg_VbVb,insn,int_round,Q6_Vb_vavg_VbVb,"Vd32.b=vavg(Vu32.b,Vv32.b)",65,__HVX_ARCH__ >= 73,b,V,b/b/,int_a/int_b/none,128/128/0,128,1024,"v0.b = vavg(v0.b,v1.b)","v0.b = vavg(v0.b,v1.b)","v0.b = vavg(v0.b,v1.b)","v0.b = vavg(v0.b,v1.b)"
46,Q6_Vb_vavg_VbVb_rnd,insn,int_round,Q6_Vb_vavg_VbVb_rnd,"Vd32.b=vavg(Vu32.b,Vv32.b):rnd",65,__HVX_ARCH__ >= 73,b,V,b/b/,int_a/int_b/none,128/128/0,128,1024,"v0.b = vavg(v0.b,v1.b):rnd","v0.b = vavg(v0.b,v1.b):rnd","v0.b = vavg(v0.b,v1.b):rnd","v0.b = vavg(v0.b,v1.b):rnd"
47,Q6_Vh_vavg_VhVh,insn,int_round,Q6_Vh_vavg_VhVh,"Vd32.h=vavg(Vu32.h,Vv32.h)",60,__HVX_ARCH__ >= 73,h,V,h/h/,int_a/int_b/none,128/128/0,128,1024,"v0.h = vavg(v0.h,v1.h)","v0.h = vavg(v0.h,v1.h)","v0.h = vavg(v0.h,v1.h)","v0.h = vavg(v0.h,v1.h)"
48,Q6_Vh_vavg_VhVh_rnd,insn,int_round,Q6_Vh_vavg_VhVh_rnd,"Vd32.h=vavg(Vu32.h,Vv32.h):rnd",60,__HVX_ARCH__ >= 73,h,V,h/h/,int_a/int_b/none,128/128/0,128,1024,"v0.h = vavg(v0.h,v1.h):rnd","v0.h = vavg(v0.h,v1.h):rnd","v0.h = vavg(v0.h,v1.h):rnd","v0.h = vavg(v0.h,v1.h):rnd"
49,Q6_Vub_vavg_VubVub,insn,int_round,Q6_Vub_vavg_VubVub,"Vd32.ub=vavg(Vu32.ub,Vv32.ub)",60,__HVX_ARCH__ >= 73,ub,V,ub/ub/,int_a/int_b/none,128/128/0,128,1024,"v0.ub = vavg(v0.ub,v1.ub)","v0.ub = vavg(v0.ub,v1.ub)","v0.ub = vavg(v0.ub,v1.ub)","v0.ub = vavg(v0.ub,v1.ub)"
50,Q6_Vub_vavg_VubVub_rnd,insn,int_round,Q6_Vub_vavg_VubVub_rnd,"Vd32.ub=vavg(Vu32.ub,Vv32.ub):rnd",60,__HVX_ARCH__ >= 73,ub,V,ub/ub/,int_a/int_b/none,128/128/0,128,1024,"v0.ub = vavg(v0.ub,v1.ub):rnd","v0.ub = vavg(v0.ub,v1.ub):rnd","v0.ub = vavg(v0.ub,v1.ub):rnd","v0.ub = vavg(v0.ub,v1.ub):rnd"
51,Q6_Vuh_vavg_VuhVuh,insn,int_round,Q6_Vuh_vavg_VuhVuh,"Vd32.uh=vavg(Vu32.uh,Vv32.uh)",60,__HVX_ARCH__ >= 73,uh,V,uh/uh/,int_a/int_b/none,128/128/0,128,1024,"v0.uh = vavg(v0.uh,v1.uh)","v0.uh = vavg(v0.uh,v1.uh)","v0.uh = vavg(v0.uh,v1.uh)","v0.uh = vavg(v0.uh,v1.uh)"
52,Q6_Vuh_vavg_VuhVuh_rnd,insn,int_round,Q6_Vuh_vavg_VuhVuh_rnd,"Vd32.uh=vavg(Vu32.uh,Vv32.uh):rnd",60,__HVX_ARCH__ >= 73,uh,V,uh/uh/,int_a/int_b/none,128/128/0,128,1024,"v0.uh = vavg(v0.uh,v1.uh):rnd","v0.uh = vavg(v0.uh,v1.uh):rnd","v0.uh = vavg(v0.uh,v1.uh):rnd","v0.uh = vavg(v0.uh,v1.uh):rnd"
53,Q6_Vuw_vavg_VuwVuw,insn,int_round,Q6_Vuw_vavg_VuwVuw,"Vd32.uw=vavg(Vu32.uw,Vv32.uw)",65,__HVX_ARCH__ >= 73,uw,V,uw/uw/,int_a/int_b/none,128/128/0,128,1024,"v0.uw = vavg(v0.uw,v1.uw)","v0.uw = vavg(v0.uw,v1.uw)","v0.uw = vavg(v0.uw,v1.uw)","v0.uw = vavg(v0.uw,v1.uw)"
54,Q6_Vuw_vavg_VuwVuw_rnd,insn,int_round,Q6_Vuw_vavg_VuwVuw_rnd,"Vd32.uw=vavg(Vu32.uw,Vv32.uw):rnd",65,__HVX_ARCH__ >= 73,uw,V,uw/uw/,int_a/int_b/none,128/128/0,128,1024,"v0.uw = vavg(v0.uw,v1.uw):rnd","v0.uw = vavg(v0.uw,v1.uw):rnd","v0.uw = vavg(v0.uw,v1.uw):rnd","v0.uw = vavg(v0.uw,v1.uw):rnd"
55,Q6_Vw_vavg_VwVw,insn,int_round,Q6_Vw_vavg_VwVw,"Vd32.w=vavg(Vu32.w,Vv32.w)",60,__HVX_ARCH__ >= 73,w,V,w/w/,int_a/int_b/none,128/128/0,128,1024,"v0.w = vavg(v0.w,v1.w)","v0.w = vavg(v0.w,v1.w)","v0.w = vavg(v0.w,v1.w)","v0.w = vavg(v0.w,v1.w)"
